author,title,description,url,publishedAt,source,language
"RT en Español
 , RT en Español",Jefe de la Real Fuerza Aérea británica insta a la OTAN a centrarse en la Armada rusa,"Además, el alto mando señaló que ahora se está poniendo de manifiesto ""la indudable utilidad de los drones"".",https://actualidad.rt.com/actualidad/468349-jefe-mayor-aire-britanico-insta-rusia,2023-05-27T10:47:39Z,RT,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.","Si Kostyuk me odia, no puedo hacer nada, dice Sabalenka","París. “Si me odia, no puedo hacer nada”, declaró la bielorrusa Aryna Sabalenka acerca de su duelo de mañana en la primera ronda de Roland Garros ante la ucrania Marta Kostyuk.",https://www.jornada.com.mx/2023/05/27/deportes/a07n2dep,2023-05-27T08:27:25Z,Jornada.com.mx,es
María G. Zornoza,"La ilegalización de partidos en Europa, una práctica en extinción con la mancha de Ucrania",El Consejo de Europa recomienda invalidar una formación política solo como última opción. Ucrania se ha convertido en el caso 'sui generis' tras la suspensión de doce partidos desde el inicio de la guerra.,https://www.publico.es/internacional/ilegalizacion-partidos-europa-practica-extincion-mancha-ucrania.html,2023-05-27T04:25:00Z,Publico.es,es
Juan Antonio Sanz,Rusia cumple su amenaza y sitúa sus bombas nucleares tácticas a las puertas de Ucrania y en el patio trasero de la OTAN,"El presidente Alexandr Lukashenko ha confirmado el comienzo del despliegue en Bielorrusia de armas nucleares tácticas rusas, que, controladas por Moscú, dan otra vuelta de tuerca a la guerra de Ucrania y sacuden el tablero de seguridad en Europa.",https://www.publico.es/internacional/rusia-cumple-amenaza-situa-bombas-nucleares-tacticas-puertas-ucrania-patio-trasero-otan.html,2023-05-27T06:22:00Z,Publico.es,es
"RT en Español
 , RT en Español","""Se va a utilizar menos"": El dólar cae a su mínimo de casi tres décadas en las reservas globales","El congelamiento de parte de las reservas internacionales de Rusia el año pasado impulsó el proceso de desdolarización, según expertos.",https://actualidad.rt.com/actualidad/468315-fmi-dolar-caer-minimo,2023-05-27T08:04:45Z,RT,es
La Voz,El comandante en jefe ucraniano insinúa el inicio de la contraofensiva: «Es hora de devolveros lo vuestro»,"El secretario del Consejo de Seguridad y Defensa Nacional de Ucrania, Oleksii Danilov, aseguró este sábado que las tropas del país están preparados",https://www.lavozdegalicia.es/noticia/internacional/2023/05/27/comandante-jefe-ucraniano-insinua-inicio-contraofensiva-hora-devolveros-/00031685194749370931904.htm,2023-05-27T13:56:00Z,Lavozdegalicia.es,es
Agencias,Primeras páginas de los diarios llegados esta noche a nuestra redacción,"MADRID, 27 (EUROPA PRESS) Las primeras ediciones de los principales periódicos llegados a nuestra redacción incluyen, entre otras, las siguientes noticias en sus portadas: EL PAÍS: ""Un puñado de votos en lugares clave definirán el mapa...",https://www.elconfidencialdigital.com/articulo/ultima-hora/primeras-paginas-diarios-llegados-noche-nuestra-redaccion/20230528000241577449.html,2023-05-27T22:02:41Z,Elconfidencialdigital.com,es
(abc),"Últimas noticias de internacional hoy sábado, 27 de mayo del 2023","Aquí, los titulares del día donde, además, podrás conocer todas las novedades y últimas noticias de hoy en ABC. Todo lo que ha pasado este día sábado, 27 de mayo en el mundo y en España:



Ucrania tira de épica en un vídeo para anunciar la contraofensiva fre…",https://www.abc.es/ultimas-noticias/abci-noticia-ultima-hora-sabado-27-05-2023-internacional-202305271700_noticia.html,2023-05-27T15:00:28Z,Www.abc.es,es
ALBERTO ROJAS,"Ucrania asegura que está ""lista"" para recuperar su territorio y multiplica los ataques a la logística rusa","La guerra de Ucrania se acelera en todos los frentes. Tras un invierno sin apenas movimientos y cuyo principal hito fue la pírrica toma de Bajmut por parte rusa, las tropas de...",https://www.elmundo.es/internacional/2023/05/27/6472163221efa011648b4586.html,2023-05-27T14:59:27Z,El Mundo,es
MARISA CRUZ,"El balance económico de las CCAA: Castilla-La Mancha y Madrid lideran en PIB, Valencia en deuda","Hoy se abren las urnas en España a la espera de que 35.539.083 electores decidan el futuro político de 8.087 municipios, 12 comunidades y dos ciudadaes autónomas. En su...",https://www.elmundo.es/elecciones/elecciones-autonomicas/2023/05/27/6471fed4fc6c830a5a8b4581.html,2023-05-27T21:16:07Z,El Mundo,es
"RT en Español
 , RT en Español","El FMI reclama a EE.UU. una solución al techo de deuda ""antes de que el carruaje se convierta en una calabaza""","La directora del organismo advirtió que estamos en un momento de contracción para la economía estadounidense y global, por lo que la falta de acuerdo sería ""un golpe tras un golpe tras un golpe"".",https://actualidad.rt.com/actualidad/468350-jefa-fmi-insta%D0%BA-solucion-techo-deuda-carruaje-convertir-calabaza,2023-05-27T09:37:39Z,RT,es
,"El comandante en jefe del Ejército ucraniano insinúa el inicio de la contraofensiva: ""Es hora de devolveros lo vuestro""","El comandante en jefe de las Fuerzas Armadas de Ucrania, Valeri Zaluzhni, ha dejado entrever el inicio de la tan comentada contraofensiva ucraniana para recuperar los territorios tomados por Rusia en el marco de la guerra, iniciada hace ya más de quince meses.",https://www.europapress.es/internacional/noticia-comandante-jefe-ejercito-ucraniano-insinua-inicio-contraofensiva-hora-devolveros-20230527112411.html,2023-05-27T09:24:11Z,Europapress.es,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",Otra final para Giuliana Olmos,"Giuliana Olmos (derecha), la mexicana mejor clasificada en el tenis mundial, número 17 en dobles, y la estadunidense Desirae Krawczyk (11), derrotaron 6-4, 5-7 y 10-4 a la pareja conformada por la checa Miriam Kolodziejová y la eslovaca Tereza Mihalikova, par…",https://www.jornada.com.mx/2023/05/27/deportes/a07n3dep,2023-05-27T08:27:25Z,Jornada.com.mx,es
Europa Press,"El comandante en jefe de Ucrania insinúa el inicio de la contraofensiva: ""Es hora de devolveros lo vuestro""","El comandante en jefe de las Fuerzas Armadas de Ucrania, Valeri Zaluzhni, ha dejado entrever el inicio de la tan comentada contraofensiva ucraniana para recuperar los territorios tomados por Rusia en el marco de la guerra, iniciada hace ya más de 15 meses.   …",https://www.elperiodico.com/es/internacional/20230527/comandante-jefe-valeri-zaluzhni-ucrania-insinua-inicio-contrafensiva-87960706,2023-05-27T11:43:05Z,Elperiodico.com,es
Miguel-Anxo Murado,La inevitable expansión de la guerra a Rusia,,https://www.lavozdegalicia.es/noticia/internacional/2023/05/27/inevitable-expansion-guerra-rusia/0003_202305G27P20992.htm,2023-05-27T03:00:00Z,Lavozdegalicia.es,es
"RT en Español
 , RT en Español","""¿Cuántos crímenes cometió su país en Irak?"": Partido gobernante de Sudáfrica apoya a Putin frente a orden de la CPI","""Putin es el jefe de Estado, ¿cree usted que un jefe de Estado puede ser arrestado en cualquier lugar?"", cuestionó el secretario general del Congreso Nacional Africano, Fikile Mbalula, en una entrevista a la BBC.",https://actualidad.rt.com/actualidad/468367-partido-gobernante-sudafrica-apoyo-putin-orden-arresto,2023-05-27T13:25:42Z,RT,es
REUTERS,Rusia dice a Estados Unidos que no dé lecciones a Moscú sobre despliegues de armas nucleares,"Rusia rechazó el sábado las críticas del presidente de Estados Unidos, Joe Biden, sobre el plan de Moscú de desplegar armas nucleares tácticas en Bielorrusia, afirmando que...",https://www.elmundo.es/internacional/2023/05/27/6471c6b5fdddffa3a18b45c3.html,2023-05-27T09:20:18Z,El Mundo,es
https://www.facebook.com/bbcnews,Niksen: la solución holandesa para reducir el estrés,"A veces, simplemente no hacer nada es una forma muy efectiva de controlar el estrés y recuperarse del agotamiento. Al menos esto es lo que piensan muchos neerlandeses, que definen esta actividad con la palabra niksen.",https://www.bbc.com/mundo/vert-tra-65683334,2023-05-27T10:51:48Z,BBC News,es
https://www.facebook.com/bbcnews,"Henry Kissinger cumple 100 años: el controvertido Nobel de la Paz que apoyó la ""guerra sucia” que dejó miles de muertos en América Latina",El exsecretario de Estado de EE.UU. fue uno de los diplomáticos más influyentes y polémicos del siglo XX.,https://www.bbc.com/mundo/noticias-america-latina-65726655,2023-05-27T03:36:45Z,BBC News,es
"Alejandro Caceres, EFE",Rusia redobla sus ataques aéreos en prevención de una contraofensiva ucraniana,Rusia redobló sus ataques aéreos y refuerza sus líneas en los distintos frentes para frenar la anunciada e inminente contraofensiva,https://www.elcomercio.com/actualidad/mundo/rusia-ataques-aereos-ucrania-contraofensiva.html,2023-05-27T19:44:10Z,Elcomercio.com,es
Albert Garrido,"Kissinger, el mago de las relaciones internacionales, cumple 100 años","Pocos personajes del siglo XX, por no decir ninguno, han tenido la influencia de Henry Kissinger (Fürth, Alemania, 27 de mayo de 1923) en la política internacional, en los movimientos decisivos de la diplomacia de la guerra fría, en la gestión de grandes cris…",https://www.elperiodico.com/es/internacional/20230527/kissinger-mago-relaciones-internacionales-cumple-87761003,2023-05-27T06:00:48Z,Elperiodico.com,es
Joschka Fischer,¿Será Europa el mayor perdedor del mundo?,"Si Europa va a enfrentar el actual reordenamiento global, es mejor que comience ya… o idealmente ayer.",https://www.nacion.com/opinion/columnistas/sera-europa-el-mayor-perdedor-del-mundo/W6APPG5AKNAU3B2EKXRNFRI2UY/story/,2023-05-27T02:35:00Z,Nacion.com,es
(abc),El Papa se recupera de su fiebre y retoma su agenda,"La oficina de prensa del Vaticano ha confirmado que el Papa Francisco ha retomado este sábado su agenda de trabajo, después de haberla suspendido ayer «a causa de un episodio de fiebre» . Lo ha confirmado también Andrea Tornielli, director editorial de los me…",https://www.abc.es/sociedad/papa-recupera-fiebre-retoma-agenda-20230527121903-nt.html,2023-05-27T10:19:05Z,Www.abc.es,es
Guillermo Ortiz,"Ucrania ataca Berdyansk, Krasnodar, Donetsk y Rostov para desarmar a Rusia de cara a la ofensiva","Kiev ha roto otra línea roja, con ataques a territorio ruso mediante drones y misiles, algo que ni Reino Unido ni Estados Unidos permiten.",https://www.elespanol.com/mundo/20230527/ucrania-berdyansk-krasnodar-donetsk-rostov-desarmar-rusia/766673722_0.html,2023-05-27T00:35:28Z,Elespanol.com,es
Redacción,Polémicas de Roger Waters: Desde el desprecio por EU hasta justificar invasión rusa a Ucrania,Roger Waters se ha involucrado en distintas polémicas por sus opiniones con respectos a temas sobre todo políticos a nivel mundial.,https://www.elfinanciero.com.mx/espectaculos/2023/05/27/cuales-han-sido-las-polemicas-de-roger-waters/,2023-05-27T21:57:45Z,El Financiero,es
HackerRuso,La guerra de Ucrania fue provocada y por qué es importante para lograr la paz (EN),Reconocer que la guerra fue provocada nos ayuda a comprender cómo detenerla. No justifica la invasión rusa. Un enfoque mucho mejor para Rusia podría haber sido intensificar la diplomacia con Europa y con el mundo no occidental para explicar y oponerse al mili…,https://www.meneame.net/m/actualidad/guerra-ucrania-fue-provocada-importante-lograr-paz,2023-05-27T09:24:58Z,Meneame.net,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.","Henry Kissinger, el promotor de la supremacía de EU a ultranza","Nueva York y Washington., “No veo por qué necesitamos quedarnos a esperar y observar a un país volverse comunista por la irresponsabilidad de su propio pueblo”, es una de las frases famosas que resumen en gran medida la mentalidad de Henry Kissinger, tal vez …",https://www.jornada.com.mx/2023/05/27/mundo/017n1mun,2023-05-27T08:27:25Z,Jornada.com.mx,es
